Beam,eps_true,Method,eps_hat,Error_m
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.06475 0],Lookup,[0.06465 0],9.96933884732792e-05
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.04579 0.04579],Direct,[0.04579 0.04579],2.77555756156289e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.04579 0.04579],EKF-1step,[0.04579 0.04579],1.51668809009574e-14
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.04579 0.04579],GaussNewton,[0.04579 0.04579],2.5018537765542e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.04579 0.04579],Lookup,[0.04849 0.04663],0.00283089199661347
"Rotated Elliptical Gaussian (\phi=30^\circ)",[3.965e-18 0.06475],Direct,[2.077e-17 0.06475],1.6804011970903e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[3.965e-18 0.06475],EKF-1step,[9.886e-15 0.06475],9.93101179888948e-15
"Rotated Elliptical Gaussian (\phi=30^\circ)",[3.965e-18 0.06475],GaussNewton,[5.31e-18 0.06475],1.34475839100835e-18
"Rotated Elliptical Gaussian (\phi=30^\circ)",[3.965e-18 0.06475],Lookup,[0 0.06358],0.00116677696181439
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.04579 0.04579],Direct,[-0.04579 0.04579],2.19427091786044e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.04579 0.04579],EKF-1step,[-0.04579 0.04579],1.16999916298986e-14
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.04579 0.04579],GaussNewton,[-0.04579 0.04579],6.93889390390723e-18
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.04579 0.04579],Lookup,[-0.0431 0.04663],0.002814086641751
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.1079 0],Direct,[0.1079 -1.586e-17],5.77327951177074e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.1079 0],EKF-1step,[0.1079 2.524e-14],2.7247360163682e-14
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.1079 0],GaussNewton,[0.1079 -3.96e-17],7.98923604942564e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.1079 0],Lookup,[0.1078 0],0.000166155647455465
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.07631 0.07631],Direct,[0.07631 0.07631],7.47341745035227e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.07631 0.07631],EKF-1step,[0.07631 0.07631],2.53192508481146e-14
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.07631 0.07631],GaussNewton,[0.07631 0.07631],1.96261557335472e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.07631 0.07631],Lookup,[0.07543 0.0763],0.000883301830439129
"Rotated Elliptical Gaussian (\phi=30^\circ)",[6.608e-18 0.1079],Direct,[8.308e-18 0.1079],4.16680350477566e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[6.608e-18 0.1079],EKF-1step,[1.647e-14 0.1079],1.6542976687149e-14
"Rotated Elliptical Gaussian (\phi=30^\circ)",[6.608e-18 0.1079],GaussNewton,[-2.546e-17 0.1079],4.24139471432574e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[6.608e-18 0.1079],Lookup,[0 0.106],0.00194462826969065
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.07631 0.07631],Direct,[-0.07631 0.07631],1.49468349007045e-16
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.07631 0.07631],EKF-1step,[-0.07631 0.07631],1.94798123206488e-14
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.07631 0.07631],GaussNewton,[-0.07631 0.07631],1.14439169963056e-16
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.07631 0.07631],Lookup,[-0.07543 0.0763],0.000883301830439115
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0 0],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0 0],EKF-1step,[0 0],0
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0 0],GaussNewton,[0 0],0
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0 0],Lookup,[0 0],0
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.02158 0],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.02158 0],EKF-1step,[0.02505 -2.011e-14],0.00346403147933103
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.02158 0],GaussNewton,[0.02158 -1.745e-17],1.87794870680358e-17
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.02158 0],Lookup,[0.02155 0],3.32311294910966e-05
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.01526 0.01526],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.01526 0.01526],EKF-1step,[0.01716 0.01716],0.00268376887240232
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.01526 0.01526],GaussNewton,[0.01526 0.01526],1.57354098181725e-13
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.01526 0.01526],Lookup,[0.01616 0.01696],0.00191849464433932
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[1.322e-18 0.02158],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[1.322e-18 0.02158],EKF-1step,[4.907e-15 0.02718],0.00559574260627161
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[1.322e-18 0.02158],GaussNewton,[-5.504e-18 0.02158],1.77073409214448e-16
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[1.322e-18 0.02158],Lookup,[0 0.02119],0.000388925653938135
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.01526 0.01526],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.01526 0.01526],EKF-1step,[-0.01977 0.01977],0.00637600531847122
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.01526 0.01526],GaussNewton,[-0.01526 0.01526],8.56447579471173e-16
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.01526 0.01526],Lookup,[-0.01616 0.01272],0.00269983805847144
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.06475 0],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.06475 0],EKF-1step,[0.1583 -1.271e-13],0.0935289330790703
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.06475 0],GaussNewton,[0.06475 -9.055e-17],1.23016880959641e-16
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.06475 0],Lookup,[0.06465 0],9.96933884732792e-05
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.04579 0.04579],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.04579 0.04579],EKF-1step,[0.09702 0.09702],0.0724618682726087
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.04579 0.04579],GaussNewton,[0.04579 0.04579],6.3832261999344e-14
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.04579 0.04579],Lookup,[0.04849 0.04663],0.00283089199661347
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[3.965e-18 0.06475],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[3.965e-18 0.06475],EKF-1step,[3.902e-14 0.2158],0.151085184667383
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[3.965e-18 0.06475],GaussNewton,[-7.643e-15 0.06475],8.37436012654079e-15
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[3.965e-18 0.06475],Lookup,[0 0.06358],0.00116677696181439
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.04579 0.04579],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.04579 0.04579],EKF-1step,[-0.1675 0.1675],0.172152252316149
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.04579 0.04579],GaussNewton,[-0.04579 0.04579],1.73913101322555e-15
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.04579 0.04579],Lookup,[-0.0431 0.04663],0.002814086641751
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.1079 0],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.1079 0],EKF-1step,[0.5409 -4.347e-13],0.433004350602041
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.1079 0],GaussNewton,[0.1079 -8.525e-17],1.2924490978221e-16
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.1079 0],Lookup,[0.1078 0],0.000166155647455465
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.07631 0.07631],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.07631 0.07631],EKF-1step,[0.3135 0.3135],0.335471652639023
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.07631 0.07631],GaussNewton,[0.07631 0.07631],1.38840314078339e-15
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[0.07631 0.07631],Lookup,[0.07543 0.0763],0.000883301830439129
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[6.608e-18 0.1079],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[6.608e-18 0.1079],EKF-1step,[1.457e-13 0.8074],0.699468497274198
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[6.608e-18 0.1079],GaussNewton,[-9.411e-16 0.1079],1.04078543959223e-15
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[6.608e-18 0.1079],Lookup,[0.005388 0.1102],0.00585576755308022
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.07631 0.07631],Direct,[NaN NaN],NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.07631 0.07631],EKF-1step,[-0.6399 0.6399],0.797001208396035
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.07631 0.07631],GaussNewton,[-0.07631 0.07631],4.42786255814948e-16
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",[-0.07631 0.07631],Lookup,[-0.07543 0.0763],0.000883301830439115
"Sidelobed (sinc^2, \phi=30^\circ)",[0 0],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[0 0],EKF-1step,[0 0],0
"Sidelobed (sinc^2, \phi=30^\circ)",[0 0],GaussNewton,[0 0],0
"Sidelobed (sinc^2, \phi=30^\circ)",[0 0],Lookup,[0 0],0
"Sidelobed (sinc^2, \phi=30^\circ)",[0.02158 0],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[0.02158 0],EKF-1step,[0.02169 -3.886e-07],0.00010990033295728
"Sidelobed (sinc^2, \phi=30^\circ)",[0.02158 0],GaussNewton,[0.02158 -2.658e-18],7.63740884406067e-17
"Sidelobed (sinc^2, \phi=30^\circ)",[0.02158 0],Lookup,[0.01994 0],0.00164654899347798
"Sidelobed (sinc^2, \phi=30^\circ)",[0.01526 0.01526],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[0.01526 0.01526],EKF-1step,[0.01538 0.01534],0.000136610349946623
"Sidelobed (sinc^2, \phi=30^\circ)",[0.01526 0.01526],GaussNewton,[0.01526 0.01526],3.68729746938221e-16
"Sidelobed (sinc^2, \phi=30^\circ)",[0.01526 0.01526],Lookup,[0.01595 0.01512],0.00070144048668283
"Sidelobed (sinc^2, \phi=30^\circ)",[1.322e-18 0.02158],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[1.322e-18 0.02158],EKF-1step,[-0.000114 0.02185],0.000289495532095745
"Sidelobed (sinc^2, \phi=30^\circ)",[1.322e-18 0.02158],GaussNewton,[-5.154e-17 0.02158],6.13933222782464e-17
"Sidelobed (sinc^2, \phi=30^\circ)",[1.322e-18 0.02158],Lookup,[0 0.02117],0.000410127423258824
